ID,district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,B_year,NoOf_sickPersons,hhsize,visit_gov_hosp,visit_pvt_hosp,impatient_gov,impatient_pvt,chronic_illness,hhfoodexppm,haif_income,hhexppm,hhincomepm
111133031,11,2,3,111133,3,1,1,1,1,1,1,1,44,7,74,1,4,3,2,9,10,4,2, , ,7,1944,1,1,2,2,2,2,2,22521.428,20000,48211.672,40000
111134011,11,1,6,111134,1,1,1,1,1,1,1,1,51,3,68,1,1,1,2,9,8,1,1,9112,8108,3,1951,2,1,2,2,2,2,1,15081.429,20616.668,37020.262,41233.336
111134051,11,1,6,111134,5,1,1,1,1,1,1,1,58,6,61,1,1,1,2,9,7,1,1,9112,47529,3,1958,2,2,1,2,2,2,1,33488.57,21028.5705,110358.31,42057.141
111137091,11,1,6,111137,9,1,1,1,1,1,1,1,56,9,62,1,1,1,2,9,10,4,2, , ,7,1956,2,1,1,2,2,2,1,9964.2861,11453.0955,21858.891,22906.191
111139021,11,2,3,111139,2,1,1,1,1,1,1,1,67,11,51,1,1,1,2,9,6,1,1,9112,14101,3,1967,2,2,2,2,1,2,2,23361.43,21500,43328.813,43000
111139041,11,2,3,111139,4,1,1,1,1,1,1,2,90,8,28,1,1,1,2,9,11,7,2, , ,7,1990,1,1,1,2,2,2,2,13105.714,21052.381,37093.297,42104.762
111139061,11,2,3,111139,6,1,1,1,1,1,1,2,55,12,63,1,1,1,4,9,5,1,1,9213,22191,3,1955,2,1,2,1,2,2,1,13585.714,15917.8575,43524.973,31835.715
111139071,11,2,3,111139,7,1,1,1,1,1,1,2,35,1,84,2,1,1,4,9,19,9,2, , ,7,1935,2,2,2,1,2,2,1,11275.714,18542.8575,17536.764,37085.715
111140051,11,1,9,111140,5,1,1,1,1,1,1,1,68,3,51,1,2,5,2,9,3,1,1,9629,97002,3,1968,2,2,2,2,2,2,1,24085.715,21546.0725,37568.93,43092.145
111140101,11,1,9,111140,10,1,1,1,1,1,1,1,58,1,61,1,1,1,2,9,6,1,1,9112,77292,3,1958,2,1,2,2,2,2,1,12445.714,20632.1425,27149.344,41264.285
111141021,11,2,6,111141,2,1,1,1,1,1,1,1,42,10,76,1,1,1,2,9,10,9,2, , ,7,1942,2,1,2,2,2,2,1,20490,11025,28315,22050
111141041,11,2,6,111141,4,1,1,1,1,1,1,1,49,6,70,1,1,1,2,9,10,4,2, , ,7,1949,1,1,2,1,2,2,2,30094.285,18708.334,48365.352,37416.668
